num,text,type,section
108,"In the last year, have you used sedatives such as sedatives such as Xanax, Valium, Rohypnol?",4,Other Substances
109,"In the last year, have you used Ecstasy or ""E""?",4,Other Substances
110,"In the last year, have you used any inhalants - like glue, cleaning fluid, gasoline, or paint to get high?",4,Other Substances
Intro3,"In the first part of this interview you were asked about how you have been feeling and acting in the last year. This included questions about the following areas:  feeling anxious or worried, feeling sad or depressed, being angry or irritable or in a bad mood, problems with food or eating or weight, your behavior, alcohol or drugs, and other things you did.  Now I'd like you to think about problems you may have been having at home,",10,Introduction3
111,"In the last three months, how often did your parents feel worried or concerned about the way you were feeling or acting?",5,Impairment
111A,Were they worried or concerned because of:  Select all that apply and then press the [ENTER] key to continue,8,Impairment
112,"In the last three months, how often did your parents get annoyed or upset with you because of the way you were feeling or acting?",5,Impairment
112A,Were they annoyed or upset because of:  Select all that apply and then press the [ENTER] key to continue,8,Impairment
113,"In the last three months, how often were you not able to do things or go places with your family because of the way you felt or acted?",5,Impairment
113A,Were you not able to do things or go places because of:  Select all that apply and then press the [ENTER] key to continue,8,Impairment
114,"In the last three months, how often were you not able to do things or go places with other people your age because of the way you felt or acted?",5,Impairment
114A,Were you not able to do things or go places because of:  Select all that apply and then press the [ENTER] key to continue,8,Impairment
115,"In the last three months, how often did the way you were feeling or acting make it difficult to do your schoolwork or cause problems with your grades?",5,Impairment
115A,Did you have problems with your schoolwork or grades because of:  Select all that apply and then press the [ENTER] key to continue,8,Impairment
116,"In the last three months, how often were your teachers annoyed or upset with you because of the way you were feeling or acting?",5,Impairment
116A,Were your teachers annoyed or upset because of:  Select all that apply and then press the [ENTER] key to continue,8,Impairment
117,"In the last three months, how often did the way you were feeling or acting make you feel bad or feel upset?",5,Impairment
117A,Did you feel bad or upset because of:  Select all that apply and then press the [ENTER] key to continue,8,Impairment
118,"In the last three months, have you been to see someone at a hospital or at a clinic because of the way you were feeling or acting?",5,Impairment
118A,Did you go to see someone because of:  Select all that apply and then press the [ENTER] key to continue,8,Impairment
119,I'd like to ask you about the interview you just completed.What did you think of it?,9,Conclusion
End,The interview has ended.  Please contact the person supervising and tell them you have finished.  Thank you!,10,Conclusion
